result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,
54,duckduckgo,Boris Johnson,Boris Johnson&#x27;s children - how many kids does the PM have and who are they?,https://www.thesun.co.uk/news/9322111/boris-johnson-children-love-child/,BORIS Johnson is the UK&#x27;s current Prime Minister and is thought to be the father of five children. Four of his kids are from his marriage to high-flying barrister Marina Wheeler and his fifth child is with a former mistress. Here is what we know about them.,100,,,
55,duckduckgo,Boris Johnson,Boris Johnson verliest zetel in Lagerhuis na verkiezingen Wales - nos.nl,https://nos.nl/l/2295999,Boris Johnson koos er niet voor om op te trekken met de Brexit Party van Nigel Farage. &quot;Als ze dat wel hadden gedaan,,,,
56,duckduckgo,Boris Johnson,World&#x27;s Best Boris Johnson Stock Pictures,,,,,,
57,duckduckgo,Boris Johnson,Boris Johnson announces suspension of UK parliament - POLITICO,https://www.politico.eu/article/boris-johnson-to-suspend-parliament-in-run-up-to-brexit-reports/,Boris Johnson announces suspension of UK parliament. The move will reduce the amount of time MPs have to try to block a no-deal Brexit. By Emilio Casalicchio. 8/28/19,,,,
58,duckduckgo,Boris Johnson,Boris Johnson: Britain&#x27;s New PM Was Born in New York City and Was a U.S ...,https://www.newsweek.com/boris-johnson-us-citizen-irs-born-new-york-1449974,Boris Johnson,,,,
59,duckduckgo,Boris Johnson,Boris Johnson told &#x27;please leave my town&#x27; by polite but brutally honest man,https://mashable.com/article/boris-johnson-please-leave-my-town/,UK Prime Minister Boris Johnson was politely told &quot;please leave my town&quot; by a passerby in Morley,,,,
60,duckduckgo,Boris Johnson,Boris Johnson Horoscope - Born To Rule - Astrology King,https://astrologyking.com/boris-johnson-horoscope/,Boris Johnson officially became prime minister of the United Kingdom on July 24,,,,
61,duckduckgo,Boris Johnson,All the times Boris Johnson flat-out lied | inews,https://inews.co.uk/news/uk/times-boris-johnson-flat-lied,Boris Johnson was one of the most frequent and enthusiastic passengers on Vote Leave&#x27;s now infamous Brexit bus,,,,
62,duckduckgo,Boris Johnson,Brexit: Legal loophole &#x27;would allow Boris Johnson to deliver no-deal on ...,https://www.independent.co.uk/news/uk/politics/brexit-no-deal-boris-johnson-leave-legal-loophole-a9107051.html,Boris Johnson could bypass a law stopping him from delivering a no-deal Brexit by exploiting a major loophole in the legislation,,,,
63,duckduckgo,Boris Johnson,Boris Johnson - latest news and updates on the British Prime Minister,https://metro.co.uk/tag/boris-johnson/,Latest news on Boris Johnson,,,,
64,duckduckgo,Boris Johnson,Boris Johnson - Wikipedia,,,,,,
65,duckduckgo,Boris Johnson,Boris Johnson has public&#x27;s support to shut down Parliament to get ...,https://www.telegraph.co.uk/politics/2019/08/12/boris-johnson-has-publics-support-shut-parliament-get-brexit/,Aug-12,,,,
66,duckduckgo,Boris Johnson,TOP 25 QUOTES BY BORIS JOHNSON (of 98) | A-Z Quotes,https://www.azquotes.com/author/7482-Boris_Johnson,&quot;EU debate: Boris Johnson says Brexit will be &#x27;Britain&#x27;s independence day&#x27; as Ruth Davidson attacks &#x27;lies&#x27; of Leave campaign in front of 6,,,,
67,duckduckgo,Boris Johnson,Boris Johnson heeft precies honderd dagen - De Standaard,https://www.standaard.be/cnt/dmf20190723_04523618,Boris Johnson heeft precies honderd dagen om een oplossing te vinden voor de Brexit-impasse. Zo niet geeft niemand een cent om zijn overleven.,100,,,
68,duckduckgo,Boris Johnson,Boris Johnson - Wikipedie,https://cs.wikipedia.org/wiki/Boris_Johnson,Boris chodil do Evropské školy a naučil se francouzsky. V roce 1975 se jeho matka psychicky zhroutila a Boris a jeho sourozenci byli posláni do anglické internátní školy Ashdown House. Od roku 1977 studoval Boris Johnson na internátní předuniverzitní škole Eton College,,,,
69,duckduckgo,Boris Johnson,Boris Johnson Could Be Britain&#x27;s Prime Minister. Who Is He? | Time,https://time.com/5612219/who-is-boris-johnson/,Why did Boris Johnson resign as foreign secretary? Johnson received the biggest promotion of his life so far under Theresa May,,,,
70,duckduckgo,Boris Johnson,Boris Johnson - The New York Times,https://www.nytimes.com/topic/person/boris-johnson,Boris Johnson Says U.K. Supreme Court &#x27;Was Wrong&#x27; A day after the Supreme Court reversed Boris Johnson&#x27;s suspension of Parliament,,,,
71,duckduckgo,Boris Johnson,Boris Johnson - The Telegraph,https://www.telegraph.co.uk/boris-johnson/,Boris Johnson&#x27;s Brexit plan is an attempt to put lipstick on a pig. Far better to walk away now,100,,,
72,duckduckgo,Boris Johnson,bol.com | Boris Johnson Boeken kopen? Kijk snel!,https://www.bol.com/nl/c/boeken-boris-johnson/1054835/N/8299/,Boeken van Boris Johnson lezen? Boeken van Boris Johnson koop je eenvoudig online bij bol.com Gratis retourneren 30 dagen bedenktijd Snel in huis,100,,,
73,duckduckgo,Boris Johnson,Revealed: The Brexit deal Boris Johnson wants | Coffee House,https://blogs.spectator.co.uk/2019/09/revealed-the-brexit-deal-boris-johnson-wants/,Revealed: The Brexit deal Boris Johnson wants on Coffee House | The shape of the Brexit fix that Boris Johnson wants from the EU&#x27;s 27 leaders is now clear.,100,,,
74,duckduckgo,Boris Johnson,Boris Johnson: News,,,,,,
75,duckduckgo,Boris Johnson,Is it true that Boris Johnson is Turkish? - Quora,https://www.quora.com/Is-it-true-that-Boris-Johnson-is-Turkish,Is it true that Boris Johnson is Turkish and French and not English? Will Boris Johnson&#x27;s Turkish origins have a positive impact on the relationship between the United Kingdom and Turkey? Is Boris Johnson the British version of Donald Trump?,100,,,
76,duckduckgo,Boris Johnson,Boris Johnson - Het Nieuwsblad,https://www.nieuwsblad.be/tag/boris-johnson,Het zit Boris Johnson dezer dagen niet mee: de Britse premier leed de afgelopen weken politieke nederlaag na politieke nederlaag,,,,
77,duckduckgo,Boris Johnson,Rt Hon Boris Johnson MP - UK Parliament,https://www.parliament.uk/biographies/commons/Boris-Johnson/1423,Rt Hon Boris Johnson MP Constituency. Uxbridge and South Ruislip Address as. Party. Conservative Contact Details ...,100,,,
78,duckduckgo,Boris Johnson,Boris Johnson | Yahoo News UK,https://uk.news.yahoo.com/tagged/boris-johnson,The three scandals hanging over Boris Johnson as his first Tory conference as PM kicks off. As Mr Johnson&#x27;s first Conservative Party conference as Prime Minister kicked off,,,,
79,duckduckgo,Boris Johnson,Boris Johnson popularity &amp; fame | YouGov,https://yougov.co.uk/topics/politics/explore/public_figure/Boris_Johnson,Boris Johnson is the most popular Conservative politician and the most famous. Boris Johnson is described by fans as: Conservative,,,,
