result #,search engine,query,article title,article url,article description,total nr of results (best guess),,
77,duckduckgo,Donald Trump,Donald Trump - The Telegraph,https://www.telegraph.co.uk/donald-trump/,Donald Trump pressures UK to &#x27;investigate the investigators&#x27; over origins of Mueller inquiry By Nick Allen. 3 Oct 2019,,,
81,duckduckgo,Donald Trump,Donald Trump Net Worth | Celebrity Net Worth,https://www.celebritynetworth.com/richest-businessmen/richest-billionaires/donald-trump-net-worth/,Donald Trump net worth: Donald Trump is an American politician,,,
82,duckduckgo,Donald Trump,[TRUMP PRINCESS]: All You Need to Know About the US President Yacht,https://www.superyachtfan.com/donald_trump.html,Donald Trump was owner of the yacht Trump Princess. He sold her in 1991. Trump net worth is US$ 3.1 billion. He ows several private jets. And he owns many houses. His Trump Princess yacht was featured in a James Bond Movie.,150,,
84,duckduckgo,Donald Trump,Astrology and natal chart of Donald Trump,,,,,
86,duckduckgo,Donald Trump,Trump: An American Dream | Netflix Official Site,https://www.netflix.com/title/80206395,Trump: An American Dream 2018 TV-14 1 Season Documentaries Friends,,,
88,duckduckgo,Donald Trump,Luxury Hotels | Trump Hotels - Official Website | 5 Star Hotels,https://www.trumphotels.com/,Trump Hotels are luxury hotels located around the world providing a range of options and experiences. Our 4 and 5 star hotels provide relaxing getaways,,,
89,duckduckgo,Donald Trump,What is Donald Trump&#x27;s IQ? - Quora,https://www.quora.com/What-is-Donald-Trumps-IQ,Trump has probably never had an official IQ test,,,
90,duckduckgo,Donald Trump,Donald Trump,,,,,
91,duckduckgo,Donald Trump,Donald Trump&#x27;s Racism: The Definitive List,,,,,
92,duckduckgo,Donald Trump,Donald Trump | Minecraft Skins,https://www.minecraftskins.com/search/skin/donald-trump/1/,View,,,
95,duckduckgo,Donald Trump,Mac Miller - Donald Trump Lyrics | Genius Lyrics,https://genius.com/Mac-miller-donald-trump-lyrics,Nobody expected [&quot;Donald Trump&quot;] to blow up and do that. You can&#x27;t really predict that. And we made that record just for fun,,,
96,duckduckgo,Donald Trump,42 Little-Known Facts About Donald Trump&#x27;s Childhood | LifeDaily,https://www.lifedaily.com/story/42-little-known-facts-about-donald-trumps-childhood/,Donald Trump was born on June 14,,,
97,duckduckgo,Donald Trump,Donald Trump Jr. - Home | Facebook,https://www.facebook.com/DonaldJTrumpJr,Donald Trump Jr. 1.6M likes. EVP of Development &amp; Acquisitions Trump Organization and Boardroom Advisor on the Apprentice.,150,,
98,duckduckgo,Donald Trump,Donald Trump - Aktuelle News zum US-Präsidenten - Süddeutsche.de,https://www.sueddeutsche.de/thema/Donald_Trump,US-Präsident Trump sieht sich als Opfer eines &quot;Putsches&quot; Donald Trump sieht sich selbst als Opfer eines Putsches. Das Amtsenthebungsverfahren gegen ihn sei ein Versuch,,,
102,duckduckgo,Donald Trump,OFFICIEEL VERJAARDAGSREGISTER » gefeliciteerd Donald ... - Donald Trump,http://donald-trump.verjaardagsregister.com/,Donald Trump is de zoon van Fred Trump,,,
103,duckduckgo,Donald Trump,How Donald Trump Got His Money - Investopedia,https://www.investopedia.com/updates/donald-trump-rich/,Donald J. Trump has launched an empire,,,
104,duckduckgo,Donald Trump,Donald Trump GIFs - Find &amp; Share on GIPHY,https://giphy.com/search/donald-trump/,Find GIFs with the latest and newest hashtags! Search,,,
