result #,search engine,query,article title,article url,article description,total nr of results (best guess),,,
102,duckduckgo,Boris Johnson,Who is Boris Johnson&#x27;s girlfriend Carrie Symonds? | HELLO!,https://www.hellomagazine.com/celebrities/2019072475674/who-is-boris-johnson-girlfriend-carrie-symonds/,Boris Johnson&#x27;s girlfriend Carrie Symonds is heading to Balmoral to meet the Queen; Boris Johnson&#x27;s new pet arrives at Downing Street - and he&#x27;s absolutely adorable! Boris Johnson&#x27;s girlfriend Carrie Symonds wows in a seriously chic Whistles gingham dress; Boris Johnson shares first photos from inside Downing Street,150,,,
103,duckduckgo,Boris Johnson,Boris Johnson - conservatives.com,https://www.conservatives.com/ourteam/members-of-parliament/johnson-boris,Boris Johnson Member of Parliament for Uxbridge and South Ruislip Uxbridge,,,,
104,duckduckgo,Boris Johnson,Boris Johnson could resign as prime minister rather than delay Brexit ...,https://www.businessinsider.com/boris-johnson-could-resign-as-prime-minister-delay-brexit-2019-9,Johnson&#x27;s resignation would leave opposition parties the opportunity to appoint a caretaker prime minister who would be charged with delaying Brexit before calling a general election. Visit Business Insider&#x27;s homepage for more stories. Boris Johnson could soon be forced to resign as prime minister. Here&#x27;s why.,150,,,
105,duckduckgo,Boris Johnson,Who is Boris Johnson? New British Prime Minister named,https://www.news.com.au/finance/work/leaders/who-is-boris-johnson-everything-you-need-to-know-about-the-new-british-prime-minister/news-story/900685b494472f7f7189147c338d23df,Boris Johnson has just been named new British Prime Minister after winning the Conservative Party leadership ballot. His victory speech was a showcase of ...,150,,,
106,duckduckgo,Boris Johnson,Boris Johnson makes Brexit statement: Live updates - CNN,https://www.cnn.com/europe/live-news/boris-johnson-monday-announcement-dle-gbr-intl/index.html,Boris Johnson has warned lawmakers not to vote to block no-deal Brexit in a statement outside Downing Street,,,,
107,duckduckgo,Boris Johnson,petition: Boris Johnson Should Resign now.,https://www.thepetitionsite.com/342/312/023/boris-johnson-should-resign-now./,Boris Johnson Should Resign now. The Supreme Court has found Boris Johnson&#x27;s suspension of Parliament to be unlawful. His advice to the Queen was unlawful.,150,,,
108,duckduckgo,Boris Johnson,De Churchill factor,,,,,,
110,duckduckgo,Boris Johnson,Boris Johnson - Wikipedia,https://zea.wikipedia.org/wiki/Boris_Johnson,Alexander Boris de Pfeffel Johnson (New York City,,,,
111,duckduckgo,Boris Johnson,Boris Johnson: News,,,,,,
112,duckduckgo,Boris Johnson,Boris Johnson,,,,,,
113,duckduckgo,Boris Johnson,Boris Johnson&#x27;s hair history - marieclaire.co.uk,https://www.marieclaire.co.uk/news/celebrity-news/boris-johnson-s-hair-history-3131,We&#x27;re talking,,,,
114,duckduckgo,Boris Johnson,Boris Johnson to hold Brexit talks with EU&#x27;s Jean-Claude Juncker and ...,https://news.sky.com/story/boris-johnson-to-hold-brexit-talks-with-eus-jean-claude-juncker-11808339,Boris Johnson will hold Brexit talks with European Commission President Jean-Claude Juncker and chief negotiator Michel Barnier next week. The meeting with Mr Juncker on Monday will be the pair&#x27;s first face-to-face meeting since Mr Johnson entered Downing Street in July.,150,,,
115,duckduckgo,Boris Johnson,Brexit is a tool for Boris Johnson to win an election. The EU is in no ...,https://www.cnn.com/2019/09/28/uk/boris-johnson-brexit-analysis-intl-gbr/index.html,Sep-28,,,,
116,duckduckgo,Boris Johnson,Boris Johnson Lied to the Queen to Get Parliament Suspended,,,,,,
117,duckduckgo,Boris Johnson,Boris Johnson overruled officials to send Jennifer Arcuri on trips ...,https://www.businessinsider.com/boris-johnson-jennifer-arcuri-overruled-officials-send-trade-missions-2019-9,UK prime minister Boris Johnson has been accused of misusing public money after reports that he previously overruled officials to send a close friend on foreign trade missions. Johnson intervened in favour of Jennifer Arcuri - a model turned tech entrepreneur - who worked on Johnson&#x27;s campaign for Mayor of London and became a close friend.,150,,,
118,duckduckgo,Boris Johnson,Category:Boris Johnson - Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Boris_Johnson,Media in category &quot;Boris Johnson&quot; The following 4 files are in this category,,,,
120,duckduckgo,Boris Johnson,Who is Boris Johnson,,,,,,
121,duckduckgo,Boris Johnson,Boris Johnson Quotes - BrainyQuote,https://www.brainyquote.com/authors/boris-johnson-quotes,Enjoy the best Boris Johnson Quotes at BrainyQuote. Quotations by Boris Johnson,,,,
122,duckduckgo,Boris Johnson,&#x27;I am a passionate Zionist,,,,,,
123,duckduckgo,Boris Johnson,De kogel is door de kerk: Boris Johnson wordt premier van het Verenigd ...,https://www.demorgen.be/politiek/de-kogel-is-door-de-kerk-boris-johnson-wordt-premier-van-het-verenigd-koninkrijk~b7c600e3/,De kogel is door de kerk: Boris Johnson wordt premier van het Verenigd Koninkrijk Boris Johnson. Beeld AFP. Boris Johnson volgt Theresa May op en wordt de nieuwe premier van het Verenigd Koninkrijk en de leider van de Conservatieve Partij. Zijn opponent Jeremy Hunt moest het onderspit delven. Redactie 23 juli 2019,,,,
124,duckduckgo,Boris Johnson,Boris Johnson - Wikimedia Commons,https://commons.wikimedia.org/wiki/Boris_Johnson,English: Alexander Boris de Pfeffel Johnson,,,,
125,duckduckgo,Boris Johnson,Boris Johnson - Posts | Facebook,https://www.facebook.com/borisjohnson/posts,🗣 Prime Minister Boris Johnson: &quot;Let&#x27;s finally believe in ourselves and what we can do.&quot; ️ Let&#x27;s get Brexit done and take our country forward so we can focus on the people&#x27;s priorities.,150,,,
126,duckduckgo,Boris Johnson,Boris Johnson | Know Your Meme,https://knowyourmeme.com/memes/people/boris-johnson,Boris Johnson&#x27;s Jedi Force. On May 22nd,,,,
