result #,search engine,query,article title,article url,article description,total nr of results (best guess),
10,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://it.wikipedia.org/wiki/Greta_Thunberg,Greta Tintin Eleonora Ernman Thunberg (IPA: [ˈgreːta ˈtʉːnˌbærj]; Stoccolma,,
11,duckduckgo,Greta Thunberg,Greta Thunberg full speech at UN Climate Change COP24 Conference - YouTube,https://www.youtube.com/watch?v=VFkQSGyeCWg,15 year old activist Greta Thunberg speaks truth to power at the UN COP24 climate talks: &quot;My name is Greta Thunberg. I am 15 years old. I am from Sweden. I speak on behalf of Climate Justice Now. Many people say that Sweden is just a small country and it doesn&#x27;t matter what we do. But I&#x27;ve learned you are never too small to make a difference.,100,
12,duckduckgo,Greta Thunberg,Greta Thunberg | Speaker | TED,https://www.ted.com/speakers/greta_thunberg,In August 2018,,
13,duckduckgo,Greta Thunberg,Greta Thunberg - IMDb,https://www.imdb.com/name/nm10361418/,Greta Thunberg was born on January 3,,
14,duckduckgo,Greta Thunberg,Greta Thunberg: 16-year-old climate activist inspired international ...,https://www.bbc.co.uk/newsround/47467038,At just 16 years old,,
15,duckduckgo,Greta Thunberg,Greta Thunberg&#x27;s emotional speech to EU leaders - YouTube,https://www.youtube.com/watch?v=FWsM9-_zrKo,A sometimes tearful Greta Thunberg criticised EU leaders in Strasbourg for not taking the threat posed by climate change seriously enough. The 16-year-old ...,100,
16,duckduckgo,Greta Thunberg,Greta Thunberg - Professionele mediahype van grote spelers,http://www.novini.nl/greta-thunberg-professionele-mediahype-van-grote-spelers/,Er zijn nog andere overeenkomsten met Greta Thunberg. Net als zij tutoyeert hij met prominenten als prins Albert van Monaco of de Hollywood-filmster Harrison Ford. En zoals Greta met paus Fransiscus babbelt,,
17,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,,,,
18,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://sv.wikipedia.org/wiki/Greta_Thunberg,Greta Thunberg har också uppmanat vuxenvärlden att stå upp bakom forskningen,,
19,duckduckgo,Greta Thunberg,Klimaatidool Greta Thunberg (16) arriveert per CO2-neutraal zeiljacht ...,https://www.volkskrant.nl/nieuws-achtergrond/klimaatidool-greta-thunberg-16-arriveert-per-co2-neutraal-zeiljacht-in-new-york-voor-vn-top~bb7fe1e1/,Nieuws Greta Thunberg Klimaatidool Greta Thunberg (16) arriveert per CO2-neutraal zeiljacht in New York voor VN-top &#x27;Land in zicht!&#x27;,,
20,duckduckgo,Greta Thunberg,Het jaar van klimaatactiviste Greta Thunberg in vogelvlucht | NU - Het ...,https://www.nu.nl/klimaat/5980472/het-jaar-van-klimaatactiviste-greta-thunberg-in-vogelvlucht.html,Greta Thunberg op het World Economic Forum. (Foto: Reuters) In het eerste kwartaal van 2019 protesteren wekelijks tienduizenden scholieren in diverse Europese landen. Dat komt mede dankzij milieugroepen Youth for Climate (BeNeLux en Duitsland),,
21,duckduckgo,Greta Thunberg,Greta Thunberg - latest news,,,,
22,duckduckgo,Greta Thunberg,Greta Thunberg: The disarming case to act right now on climate change ...,https://www.ted.com/talks/greta_thunberg_the_disarming_case_to_act_right_now_on_climate,In this passionate call to action,,
23,duckduckgo,Greta Thunberg,Greta Thunbergová - Wikipedie,https://cs.wikipedia.org/wiki/Greta_Thunberg,Greta Tintin Eleonora Ernman Thunbergová,,
24,duckduckgo,Greta Thunberg,Greta Thunberg Age,,,," is a Swedish actor.""	100"
25,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipedia,https://no.wikipedia.org/wiki/Greta_Thunberg,Greta Tintin Eleonora Ernman Thunberg (født 3. januar 2003 i Stockholm) er en svensk klimaaktivist og skoleelev som ble kjent i august 2018 da hun satt utenfor ...,100,
26,duckduckgo,Greta Thunberg,Greta Thunberg - Wikipédia,,,,
27,duckduckgo,Greta Thunberg,Self-Harm Versus the Greater Good: Greta Thunberg and Child Activism ...,https://quillette.com/2019/04/23/self-harm-versus-the-greater-good-greta-thunberg-and-child-activism/,Consequently,,
28,duckduckgo,Greta Thunberg,Greta Thunberg | Environment | The Guardian,https://www.theguardian.com/environment/greta-thunberg,Greta Thunberg hit back at critics including Donald Trump on Friday before she marched in a climate strike in Montreal,,
29,duckduckgo,Greta Thunberg,&#x27;Greta Thunberg toont de sterktes van haar autisme,,,,
30,duckduckgo,Greta Thunberg,Greta Thunberg | Environment | The Guardian,https://www.theguardian.com/environment/greta-thunberg,Greta Thunberg hit back at critics including Donald Trump on Friday before she marched in a climate strike in Montreal,,
31,duckduckgo,Greta Thunberg,25 of Greta Thunberg&#x27;s Best Quotes - Climate Change,https://www.curious.earth/blog/greta-thunberg-quotes-best-21,Greta Thunberg is a 16-year old climate activist from Sweden. A school girl with autism,,
32,duckduckgo,Greta Thunberg,Zeiltocht activiste Greta Thunberg is helemaal niet klimaatneutraal ...,https://eenvandaag.avrotros.nl/item/zeiltocht-activiste-greta-thunberg-is-helemaal-niet-klimaatneutraal-vliegen-was-beter-geweest/,Een tocht van 2 weken. Het vliegtuig pakken wil de 16-jarige Zweedse klimaatactiviste Greta Thunberg niet,,
33,duckduckgo,Greta Thunberg,George Soros is backing Greta Thunberg | Free West Media,https://freewestmedia.com/2019/04/24/george-soros-is-backing-greta-thunberg/,Greta Thunberg has become world renowned because of her fight against climate change and lower temperatures on Earth. It all started in 2018 when she began a school strike on her own,,
34,duckduckgo,Greta Thunberg,The problem with Greta Thunberg&#x27;s sea crossings - Spectator USA,https://spectator.us/problem-greta-thunberg-sea-crossings/,Thunberg and her family may argue that Greta&#x27;s presence at these conferences will inspire others to become more climate-friendly but the fact is that without Thunberg&#x27;s celebrity,,
35,duckduckgo,Greta Thunberg,Greta Thunberg - Het Nieuwsblad,https://www.nieuwsblad.be/tag/greta-thunberg,De ogen van Greta Thunberg schoten maandag even vuur toen ze bijna oog in oog stond met Donald Trump om de VN-klimaattop in New York. De activiste liep de president bijna tegen het lijf toen hij binne...,100,
36,duckduckgo,Greta Thunberg,&#x27;You did not act in time&#x27;: Greta Thunberg&#x27;s full speech to MPs ...,https://www.theguardian.com/environment/2019/apr/23/greta-thunberg-full-speech-to-mps-you-did-not-act-in-time,Apr-23,,
37,duckduckgo,Greta Thunberg,Greta Thunberg - De Standaard,https://www.standaard.be/tag/greta-thunberg,Greta Thunberg krijgt overal waar ze komt enorm veel aandacht,,
