result #,search engine,query,article title,article url,article description,total nr of results (best guess),date,timestamp
50,google,Donald Trump,Donald Trump - Business Insider,https://www.businessinsider.com/category/donald-trump,A White House adviser is flip-flopping on whether China gave him information on Joe Biden's son after Trump asked Beijing to investigate the Bidens.,1040000000,n/a,n/a
51,google,Donald Trump,Friday's 5 court rulings against President Donald Trump ...,https://www.cnn.com/2019/10/11/politics/5-rulings-against-trump-taxes-border-wall-immigration-public-charge/index.html,Washington (CNN) President Donald Trump has relentlessly pushed to build a border wall and tighten immigration restrictions. He's also fought ...,1040000000,19 hours ago ,1570845693
52,google,Donald Trump,Donald Trump - Bio,,,,,
53,google,Donald Trump,Donald Trump : NPR,https://www.npr.org/tags/134949364/donald-trump,Jul-11,,,
54,google,Donald Trump,Donald J Trump - YouTube,https://www.youtube.com/channel/UCAql2DyGU2un1Ei2nMYsqOA,This is the official YouTube Channel for Donald J. Trump.,1040000000,n/a,n/a
55,google,Donald Trump,Raw,,,,,
56,google,Donald Trump,Donald Trump Is on the 2019 TIME 100 List | Time.com,https://time.com/collection/100-most-influential-people-2019/5567754/donald-trump-3/,Donald Trump is one of the most influential people of 2019. Chris Christie writes about the president's summit with Kim Jong-Un.,1040000000,n/a,n/a
57,google,Donald Trump,Donald Trump - Pacific Standard,https://psmag.com/tag/donald-trump,Is a Conspiracy Theory Protected Speech? The FBI labeled conspiracy mongering a domestic terror threat. What does that mean for Donald Trump and others ...,1040000000,n/a,n/a
58,google,Donald Trump,Donald Trump - Washington Examiner,https://www.washingtonexaminer.com/tag/donald-trump,Oct-12,,,
59,google,Donald Trump,The Definitive Net Worth Of Donald Trump - Forbes,https://www.forbes.com/donald-trump/,What's Donald Trump really worth? Forbes estimates his wealth based on his real estate holdings,,,
60,google,Donald Trump,Donald Trump loses appeal to stop House subpoena of his tax ...,https://www.cnn.com/2019/10/11/politics/trump-mazars-appeal-decision/index.html,President Donald Trump on Friday lost his appeal to stop a House subpoena of his tax documents from his longtime accountant Mazars USA.,1040000000,1 day ago ,1570827694
61,google,Donald Trump,Donald Trump endorses Senate candidate who once said ...,https://www.cnn.com/2019/10/11/politics/jason-lewis-donald-trump-mike-pence/index.html,President Donald Trump on Thursday endorsed a Republican Senate candidate in Minnesota who once said members of the Republican Party ...,1040000000,23 hours ago ,1570831294
62,google,Donald Trump,Donald Trump joins Twitch,,,,,
63,google,Donald Trump,Donald Trump | New York Post,https://nypost.com/tag/donald-trump/,Get the latest news and breaking news on Donald Trump,,,
64,google,Donald Trump,Trump's Favorite Impeachment Lawyer Is ...Trump Himself,https://www.thedailybeast.com/trumps-favorite-impeachment-lawyer-is-trump-himself,President Donald Trump has slowly but surely bent the Office of the White House Counsel to his will.,1040000000,12 hours ago ,1570870894
65,google,Donald Trump,Donald Trump Jr. tried to insult Kamala Harris. It backfired.,https://mashable.com/article/kamala-harris-donald-trump-jr-twitter-joke/,Donald Trump Jr. tried to insult California Senator and Democratic candidate Kamala Harris on Twitter and she destroyed him.,1040000000,2 hours ago ,1570906895
66,google,Donald Trump,Rudy Giuliani: Donald Trump won't say if mayor is still his ...,https://www.usatoday.com/story/news/politics/2019/10/11/rudy-giuliani-donald-trump-wont-say-if-ex-mayor-still-attorney/3945806002/,Donald Trump,,,
67,google,Donald Trump,Donald Trump: Latest News,,,,,
